year,elect_date,sou_date,sotu_type,president,birth_date,birth_state,death_state,affil_region,party,cong_sup,relative_ideology,years_active,year_num,term_num,term_type,decl_war,va_wars
1815,-,1815-12-05,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,26/38,Conservative,1813-1817,7,2,Midterm,Peace,Peace
1816,1816-11-01,1816-12-03,written,James Madison,1751-03-16,Virginia ,Virginia ,Colonial South,Democratic-Republican,26/38,Conservative,1813-1817,8,2,Lame Duck ,Peace,Peace
1817,-,1817-12-12,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,30/42,Conservative,1817-1821,1,1,Newly Elected,Peace,Peace
1818,1818-04-26,1818-11-16,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,30/42,Conservative,1817-1821,2,1,Midterm,Peace,Peace
1819,-,1819-12-07,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,37/46,Conservative,1817-1821,3,1,Midterm,Peace,Peace
1820,1820-11-03,1820-11-14,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,37/46,Conservative,1817-1821,4,1,Reelected,Peace,Peace
1821,-,1821-12-03,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,44/48,Conservative,1821-1825,5,2,Midterm,Peace,Peace
1822,1822-07-01,1822-12-03,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,44/48,Conservative,1821-1825,6,2,Midterm,Peace,Peace
1823,-,1823-12-02,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,31/48,Conservative,1821-1825,7,2,Midterm,Peace,Peace
1824,1824-10-29,1824-12-07,written,James Monroe,1758-04-28,Virginia ,New York,Colonial South,Democratic-Republican,31/48,Conservative,1821-1825,8,2,Lame Duck ,Peace,Peace
1825,-,1825-12-05,written,John Quincy Adams,1767-07-11,Massachusettes,Massachusettes,New England,Democratic-Republican,22/48,Conservative,1825-1829,1,1,Newly Elected,Peace,Peace
1826,1826-07-03,1826-12-05,written,John Quincy Adams,1767-07-11,Massachusettes,Massachusettes,New England,Democratic-Republican,22/48,Conservative,1825-1829,2,1,Midterm,Peace,Peace
1827,-,1827-12-04,written,John Quincy Adams,1767-07-11,Massachusettes,Massachusettes,New England,Democratic-Republican,21/48,Conservative,1825-1829,3,1,Midterm,Peace,Peace
1828,1828-10-31,1828-12-02,written,John Quincy Adams,1767-07-11,Massachusettes,Massachusettes,New England,Democratic-Republican,21/48,Conservative,1825-1829,4,1,Lame Duck ,Peace,Peace
1829,-,1829-12-08,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,25/48,Conservative,1829-1833,1,1,Newly Elected,Peace,Peace
1830,1830-07-05,1830-12-06,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,25/48,Conservative,1829-1833,2,1,Midterm,Peace,Peace
1831,-,1831-12-06,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,24/48,Conservative,1829-1833,3,1,Midterm,Peace,Peace
1832,1832-11-02,1832-12-04,written,Andrew Jackson,1767-03-15,Carolinas,Tennessee,West,Democratic,24/48,Conservative,1829-1833,4,1,Reelected,Peace,Peace
